gbpusd	hangseng	jpm	ms	nasdaq	nikkei	nya	sp500	usdeur	usdjpy	vix
1.6209	15532.2998	80.69	66.25	3940.0	19539.6992	0.0	1394.46		106.98	24.95
1.6145	15653.9004	83.75	64.0	4052.0	19423.3809	0.0	1409.28		107.91	23.45
1.6043	15789.7998	82.38	65.12	4074.0	19578.9102	6618.4199	1409.12		108.42	23.12
1.6029	24.81	83.19	66.0	4211.0	19786.4199	6657.54	1424.97		108.19	22.01
1.5886	15968.0996	81.75	65.69	4244.0	19763.1309	6628.6699	1424.37		107.34	21.54
1.5898	15968.0996	82.19	65.12	4322.0	19945.4297	6596.3198	1424.24		108.4	22.79
1.6114	16228.7002	85.06	67.81	4428.0	19868.8809	0.0	1441.72		109.51	21.25
1.6105	26.72	82.88	67.19	4363.0	20007.7695	0.0	1411.71		109.19	22.9
1.6054	16845.1992	83.13	66.81	4486.0	19710.0195	0.0	1416.83		108.53	23.07
1.5947	17380.3008	82.62	66.75	4395.0	0.0	6391.3999	1387.12		108.92	24.42
1.5881	24.7	79.06	66.0	4419.0	19556.4609	0.0	1389.9399		108.74	24.38
1.5971	16688.1992	81.06	65.56	4421.0	19367.8301	6459.2798	1402.05		108.72	22.92
1.6022	17043.4004	79.5	65.56	4428.0	19599.1797	6396.79	1387.67		109.47	23.51
1.6066	16981.1992	78.38	63.25	4549.0	19791.4004	0.0	1388.26		110.35	23.17
1.5969	16599.1992	74.75	61.25	4412.0	19789.0293	6203.29	1346.09		110.8	26.0
1.598					19543.75				111.28	
1.615	16255.2002	77.25	62.31	4382.0	19390.5801	6239.77	1352.17		110.66	25.86
1.6048	16376.7998	77.37	65.75	4550.0	19519.5508	0.0	1360.6899		111.12	23.89
1.6015	24.43	76.0	69.06	4618.0	19571.4395	0.0	1353.4301		111.01	24.38
1.5945	17201.0	75.87	69.88	4591.0	19817.8809	6094.9102	1333.36		110.88	25.2
1.5903	16984.4004	77.94	69.19	4578.0	19720.0996	0.0	1348.05		108.98	24.68
1.579	17169.4004	79.62	70.44	4697.0	19959.5195	6266.4199	1366.42		109.91	23.37
1.5845	23.74	82.0	75.25	4784.0	20081.6699	6338.7402	1379.1899		107.53	21.64
1.5797	16936.8008	80.56	76.56	4755.0	20065.1094	6360.1001	1381.76		107.61	21.06
1.5813	17285.1992	81.12	79.19	4915.0	19927.5391	0.0	1409.17		107.57	19.21
1.5732	17758.8008	83.44	80.88	4905.0	19796.3496	6386.7402	1391.28		107.6	21.5
1.5812	17865.4004	81.81	81.0	4848.0	19944.2402	6223.3799	1355.62		106.79	24.31
1.5824	17951.4004	79.0	79.0	4897.0	19766.8008	6251.5098	1366.7		106.89	23.82
1.5822	17637.0	81.12	83.38	5047.0	19662.3301	0.0	1401.6899		106.22	22.21
1.5787	17831.9004	78.69	86.62	5049.0	19750.4004	0.0	1395.0699		106.31	21.24
1.579	17096.6992	80.06	82.5	4907.0	19189.9297	6287.25	1383.62		105.35	22.85
1.5707	16929.1992	79.0	79.94	4707.0	19141.8398	0.0	1359.15		104.98	24.41
1.5722	16747.1992	83.13	78.0	4583.0	19078.5996	0.0	1392.14		105.43	22.34
1.5768	16359.0	90.12	80.75	4717.0	19253.2305	0.0	1458.47		105.63	20.77
1.5717	17083.0	91.0	88.88	4798.0	19566.3203	0.0	1464.47		106.1	22.37
1.5657	17234.5	86.56	87.69	4610.0	0.0	6673.5	1456.63		106.58	22.96
1.5771	17200.0	92.0	88.69	4712.0	19602.3594	0.0	1493.87		106.89	21.7
1.5676	17547.0	91.56	90.14	4865.0	19733.5898	6801.4502	1500.64		106.97	21.49
1.5818	17710.5996	98.5	94.75	4941.0	19704.5996	6897.3501	1527.35		107.45	22.26
1.5883	17784.5996	96.19	95.81	4963.0	19958.0801	6899.3599	1527.46		107.16	23.31
1.5915	18292.9004	94.69	90.0	4959.0	20281.0293	6863.8301	1523.86		106.79	24.53
1.5855	18301.6992	94.25	88.0	4834.0	20374.3398	6824.9199	1507.73		105.97	24.86
1.585	21.44	90.38	86.75	4645.0	20706.6504	6866.1602	1508.52		105.56	24.1
1.5938	17467.1992	87.0	84.14	4458.0	20441.5	6827.1401	1487.92		105.33	25.47
1.5952	17406.5	87.19	82.88	4573.0	20337.3203	6848.6099	1498.58		102.45	24.11
1.5956	16892.9004	92.5	85.38	4224.0	20726.9902	6975.0698	1505.97		104.84	24.03
1.5962	16892.9004	86.75	78.62	4149.0	20594.9297	6897.2402	1494.73		105.62	27.12
1.5915	21.69	86.37	79.75	4169.0	20462.7695	6878.5298	1487.37		105.11	28.41
1.5827	16491.4004	87.44	85.31	4268.0	20223.6094	6965.8701	1501.34		104.84	27.15
1.5822	16941.6992	86.37	84.56	4446.0	20252.8105	6972.6401	1516.35		105.34	24.39
1.5831	21.95	88.12	88.75	4188.0	20619.0605	0.0	1504.46		106.76	25.99
1.5883	21.97	86.0	86.06	4056.0	20522.5195	0.0	1500.59		106.96	27.25
1.587	16577.0996	86.81	79.75	3770.0	20833.2109	0.0	1467.17		105.9	28.98
1.5887	21.5	84.5	75.5	3677.0	20526.4199	6815.9302	1440.51		105.95	29.4
1.5873	19.69	78.87	66.88	3321.0	20434.6797	6465.73	1356.5601		104.84	33.49
1.5865	17.86	78.63	68.94	3539.0	19008.6406	6557.9302	1401.4399		104.25	28.95
1.5777	15278.2998	80.5	75.75	3794.0	18969.5195	0.0	1441.61		104.37	26.12
1.58	15427.2002	78.0	75.0	3706.0	19086.6191	6696.0298	1427.47		104.56	27.02
1.5805	17.26	77.31	75.0	3644.0	18959.3203	0.0	1434.54		105.38	25.85
					18252.6797					
	15367.0996	74.75	77.62	3482.0	18480.1504	0.0	1429.86			27.37
1.5795	15380.0	78.06	79.88	3711.0	18272.3301	6965.6602	1477.4399		105.7	25.24
1.5805	15227.4004	76.44	80.62	3630.0	18134.3105	0.0	1460.99		106.53	26.97
1.5754	15192.9004	73.88	80.5	3774.0	18019.1699	6877.6802	1464.92		106.39	26.19
1.5638	14.7821	72.12	76.75	3861.0	17973.6992	0.0	1452.4301		108.07	26.2
	15519.2998	73.75	79.75	3958.0	18403.0801	6878.9502	1468.25			25.88
1.5619	15817.7998	76.12	75.75	3785.0	18439.3594	6827.9902	1446.29		108.85	28.5
1.5623	15577.5	74.25	73.0	3707.0	0.0	0.0	1415.1		109.03	31.63
1.5445	14.79	73.25	71.62	3720.0	0.0	6676.9902	1409.5699		108.04	30.77
1.5272	15268.5996	72.19	71.12	3817.0	0.0	6749.5298	1432.63		108.62	27.53
1.5299	14901.0	72.0	71.81	3669.0	18199.9609	6770.3599	1424.17		108.83	28.2
1.5324	14776.9004	70.88	71.12	3585.0	17844.5391	6727.96	1412.14		109.42	28.93
1.5216	14492.9004	68.75	66.12	3385.0	17701.4707	6644.1099	1383.05		109.44	29.87
1.5015	14492.9004	70.0	67.0	3500.0	16882.4609	0.0	1407.8101		108.62	27.76
1.5154	15111.9004	71.62	69.41	3529.0	17357.8594	6797.4302	1420.96		108.81	26.05
1.5154	18.65	74.62	74.06	3608.0	17313.6895	6934.04	1452.36		109.51	24.86
1.4972	15160.2998	74.25	75.25	3718.0	17551.25	0.0	1466.04		109.77	24.34
1.4905	18.21	74.0	76.0	3645.0	17404.0293	0.0	1447.8		109.45	23.98
1.4809	18.84	75.12	74.69	3539.0	17031.6309	0.0	1437.21		108.85	23.96
1.4844	14478.2998	72.5	69.44	3390.0	16858.1699	6762.4302	1406.95		106.88	25.44
1.4934	14140.7002	72.19	67.5	3364.0	16386.0098	0.0	1400.72		107.14	26.0
1.4778	14257.2002	73.12	68.25	3165.0	16318.7305	0.0	1373.86		106.69	25.87
